1000 outputs of genrand64_int64()
 3698867468831301870 17061922288668945088  9425389310295022832  5253074967848184289 14330774299886515801 
 3172340697207263379  9664025061202247277 17796377429431934407  8544303353605336833 11930888023113617400 
 3154710123151411761 10837708497908932846  3586960858401834650 14477401400347540848 14025322771195953868 
11687580167949629113  1792426822856249791  4970154539221281936 15595356087920219159  7583426086370235969 
 4884011888148054322  1158722812799074854  9095901820473742825 14611032011156657888  1129699816348656965 
17723803002106303711  9921663334861524785 16426142293896464246   659904867662589343  3522447508294098671 
 3982178907605038795 14733943305170070587 13241098843095690339  4101773478577448759  2145972829024825578 
 3665692330644738351  5176597466160157027 17107828687904494169  4228310116318478958   782480295899565468 
 9570307654645298183  7874585906324431285  3192052054659401681  4761987780241371361   654612326715777255 
10387534659474462414 14983716028809479102 16951927617298126522  2422751219668015010  7420363366468115372 
12314491156733541173 18190116492250130014 12641593180142070228 10248524759577513021  5618126612950756878 
14836384188017774448 14510853067604961777 11427516750092662582 18081349577514222165    86467293039488287 
 9979333811137249613  2353373411278969804  4975649605834114219  5328605230920986682  5145182186432228418 
 2980423710961317746 15446407466466433770  7819644188941882600 10520835551646281192  5983922239120815346 
 5632717178538029705 16419363525205425341  4488668974335510484 12421600571348418695  7577199177945697828 
  568201530453060533  9380727446495348077 11503914156157998086 10130600963096417922 18344981021479719312 
10213709465588102683  9150424046812629248 12205126543121283238 16036913850787708034  6520209752125136885 
 7194917021540605601  1769312769361456987 15208542997203268484 12026166184432122065  9542136740613687492 
 7413084231570904872  7277849743283189614   954851567643415647    92274316596884656  4757976390268710674 
11019444630442597586  5680574143879261053    61282414446550395 14564602531011756936  7913201522536874755 
14383783885182598424 14687360457537043263 16027109074999399435  6552835080309609006 12427702692914506096 
 7138808720792883298  2571504092204296168 12243113480498210684 10593580921551552560 18076761213898672611 
11059391391262722640  1387780573711925175  9808791944127318806  7269783651880047710 14748548179234703697 
 2003617939906060525  2613492421275307812  1919800028043701175  3735161363842282387 12326912530779237849 
 5676583085742440957  5686528095149847846  3701843852229769937 16869285810073113320  7983317835893196820 
 7526546497583166677  1336865011931242301 17293106199059300531  4347214541978075455  7362478713370427719 
10141662745072698190  9629296119510155456 16967009068690942074 10809165277106811069 13199600822355255879 
15802783502160474569  6663207698959144543  7935740160867031030 14106033435107139315  5295190423521927053 
13758239893443746305 10194819167793364389 18053453822541735188  8414457640289557811 12887113347669957884 
 3780193215222992489  9632152859181767302  7948205897744981263  4619706080943427646  2647373490684440063 
 4371126936933960753  8168106666757337734  3213985109149456853 14061776351373152610 18114243716443071681 
10844742539269241549 16369171987726696907 14567291237251347664 10870299970078521702  8155025701243150380 
17260497685673384130  4800635664378226214  5169556267082877748  9335781270941783667  8930601651556820348 
 5765274420814202816  2829070389915735529  7737834702890895774 11072685965521977234  4854000003264677921 
17119265936205613622 11269540042759450829 15459095781700052321 17458275414033697969 10208531961210666831 
 4379399532517462785 12160873999959131238 13617540281294487565 13144702045933170526  8839145016802911407 
 8044082447176687313 16597782523743701392 12256722013253354666 17871229968287565171 13651030859577436748 
15136093637167698284  3325289936163209694  5459711462338340374  2611837927612979015  5269601830530874040 
 5079594831021836974 18218346156848450212  8526493859599377046  1534439796356137118 16199308121026127328 
 9651140841246700716 10631662353059333561  6335583753451577704 15792763359523165542  3614560362873334751 
18376851566827572391  9442483761779130470 16030350569112901487 13724277046415188719  4888518662265578414 
 4811974724140354834  5138654521296293746  4204197027619717551  7534608235447187555 14582540989110173039 
11451035662636800789  9073533077575279279   160635663587794406  3993703332528067788  5055621199002373382 
 7042291974671485328  1799648692568740295 11026385174887245314  1056555065782339627  1394311267517625359 
 4938262326997259590  7919669484767633472  1990310736580142634  3336120477144248129  8893919805028828700 
10598621429498892793   384748768712695284  4069586582217668941 10172468217361179660  1428429533544482607 
10973385206222216579 15525270155684744380 18256713904095728321 12633469250867374507  8311515864891878039 
17848738600728732990 13467100298660117566  1883759620296755101 10858950498348763143 10302511397964913711 
18237141945881053930  3542164651450974682  3076179316088494119  1231282600197274580 13805469406140402514 
 1134358334834065702  4929306986068068893 15815474793934363992 12980166878118698756   279593282073953986 
10819165254240108710 13273190676964509349 18136537581887387312  1650344676353654216 13606551126146956630 
11243175392197274911 15688722401375245411  3649658358307578385 15978415611598174220 17062806389524372484 
16204991741963970894  2999465133138861457 14881420013391626093  7020140437147588969  5600552266161035882 
 7682228844368941952  3980160445188134947  3724039026539168232   650386073222480282 17038494470661427219 
16475991795983297728 15110315166725954682  4438699714455125539 10390699008956936064 14964455484149925063 
15382222039609601283  7974307509791264061  6462585003858727565  7061253717951656926  1584341462647389755 
 4212443399239129065 11933318477987754214  2364716984471654355  7716616963388577059  1923308326478699310 
12770129422999489584  9589724804399042771  5719365462105308427 18289619168940495500 15559896958317786302 
 7532403460076813599  9375309620351304283 16254190862484892244 12036259521814745479  8497900579906032595 
 3129290174789990734 16147682724793771371  2621392190976145302 15618172107334605990  5131693241502598820 
14946216557799996040 10204981765988286522  7616879233107644320 16205458023997281203 11554344968364828952 
16329100822615494434 10607403140204960304  6298411709950473008   245993045017603495  8317113697887217433 
13459278397803223447  7370195762747681379  2858998782547102416 17586282050604012844  1295690107563739909 
10143108787817141017  9648547178387677933  5574151934838140515  8275464895446502758 11041494763049968326 
12669893699255172721 17053829332361348645  9837615314061413629 10317618961472854225  5743313184733152939 
  326564295588908100   210199997817597232 13154656675328896994 12110071987260044878  4043623690742006359 
  369396952794261459  1091980096975341800  6030619395180707875  6093457115338747048 16059018396735025802 
10308073345862317027  4678097163545473566 11328036209649071412  5508500809465925624  4140147888352808842 
18281890162350295482  2257389002652350782 15014411944903587631  9175154019989816404 10724871741598964817 
14089644510449089605 10944214530807040373   954399217307945363  6586327380498685313   150062265722644180 
 8822445205285292787 12429734739218892929 10222232816020772076  9140124529742219545 11215264533387876759 
16213397280421425259  5191664657685202777  4202616972772371504 15090242290900805570 10027636053492957742 
 4673331632636869411 14072387496553366293  8306757378814118014  8852560420062972798 17517781981948350232 
10461852285910827620  6080751503981877128  4046738652717590906   874275962468439248 11231233114435479893 
17766657978282599753  3671376031147197801  3765056147917157956 15356183957231255986  1893306292868220963 
 5793532736047200056  2778450368164692584 13400639947216263297  9043551008740190467 14038491766087042687 
  900340352707542312   662973127697888471  3473846319270118482 11952301713557448039 17011527554616621557 
18190952704145145754  2146893238325789555 15647032615423923710  5470965899917823798 15026726855622603101 
15890385714211807361  5145731789997863431  6385152313028594644 10162449131214735035 12483348242978986063 
10104254769945712794  2583342812581770625 10898732249510166471  3673580061295513882 18268030691645165216 
 4669510239359450276  3429298108515801596  5495183719428903316  6307502334885209617 14164282192671589986 
 7935688212836831924 14920135790704625500 14597352074770196752 17455690878467495006  8204108857862408360 
 8955050728625574835 17547961133831493096 10446858847306755083 12082003410403942891 10535567641446979528 
   42995782517696798 12306504413619963725  7090786142510803146 10354287270674391265   825780937212620920 
  885905765687077803  7428153100314568340  5412959566090259377   649321453700106483  2847767640384984717 
 9386085122220297838   648408643176370006 13746547696235577488 11434268364822883104  1207893939466926423 
15743354860672424186 14685811348199327671  3793244869438020368  2309628014036679535 16338459130905562537 
 9435097276204547101  1650534386037371629  5889641137676706052 14110973738516859830 16558021122341132646 
14613501087777313254 17134572733403686704   593472452969832287  3142085448486468262  7309146679464357757 
12892877845312482139  6794926553915637367  1244210895227212513  3441804325220993835    10874084886654175 
 1818738843028573129  4662965348272332256   588000345962227306  8880001259981595235 13452602845562259129 
16301870206288077501 14007975310367006303 12820277687052875456  1681177511316907944 13895937211642247375 
16570100463234970357  4689483716729657259  9202190239689932711  1678547840478963920  5823142282878037387 
 9306686739445955156  8584140719741496897  8459248523628935861 13988829828765296681  2231806142446767065 
